serial_number;product_name;product_number;inizio_garanzia;fine_garanzia;etichetta;note;smaltito;aula;marca;tipo;macaddress(separare con virgole);note (separare con virgole)
CZC1231L2M;HP Compaq 8100 Elite CMT PC;AY031AV;2011-06-09;2014-07-08;CLIENT8842;;0;aula4;HP;Tower;2c:27:d7:24:07:59;LAN
CZC1231L17;HP Compaq 8100 Elite CMT PC;AY031AV;2011-06-09;2014-07-08;HP Tower 1/ client8858;;0;aula22;HP;Tower;2c:27:d7:20:61:91;LAN
CNC302PRSX;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;Monitor2;;0;Aula docenti;HP;Monitor
CZC32016SL;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;Client8865;;0;Aula docenti;HP;Desktop
V6-A0662;ThinkVision L1940p 19-inch Wide Monitor;4424HB6;2009-06-05;2012-06-04;Mon9;;0;Aula docenti;Lenovo;Monitor
CZC5320HCR;HP EliteDesk 800 G1 SFF;C8N26AV;2015-08-06;2018-07-04;Client8877;;0;Aula docenti;HP;Desktop
V6-B7240;ASSEMBLY L1951p Wide Monitor;2448HC6;2010-08-23;2013-08-22;Mon11;;0;Aula docenti;Lenovo;Monitor
CZC3186LT6;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;Client8844;;0;Aula docenti;HP;Desktop
V6-98365;ThinkVision L1940p 19-inch Wide Monitor;4424HB6;2009-06-05;2012-06-04;Mon13;;0;Aula docenti;Lenovo;Monitor
CNC302PRQX;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;Monitor10;;0;Aula docenti;HP;Monitor
CZC3186LT7;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;Client8848;;0;Aula docenti;HP;Desktop
V6-B7249;ASSEMBLY L1951p Wide Monitor;2448HC6;2010-08-23;2013-08-23;Mon12;;0;Aula docenti;Lenovo;Monitor
CZC32016SB;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-14;Client8846;;0;Aula docenti;HP;Desktop
CNC302PTWG;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;Monitor12;;0;Aula docenti;HP;Monitor
CZC3186LT6;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;Client8864;;0;Aula docenti;HP;Desktop
L8B4202006;TASKalfa 5551ci;;0000-00-00;0000-00-00;AulaDocFOTCOP31;;0;Aula docenti;Kyocera;Stampante
V6-98366;ThinkVision L1940p 19-inch Wide Monitor;4424HB6;2009-06-05;2012-06-04;Mon10;;0;Aula docenti;Lenovo;Monitor
CZC3186M00;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;Client8841;;0;Aula docenti;HP;Desktop
5CG61411HZ;BU IDS UMA i5-6300U fWWAN 640 G2;L8U34AV;2016-06-28;2017-06-27;DELLAMONICA;Andrea;0;Aula informatica;HP;portatile
CNC205Q9HD;HP CPQ LA2306x 23-In LED LCD ALL;XN375AT;2012-03-22;2015-04-20;Mon23;Giorgio;0;Aula informatica;HP;Monitor
CZC2197H2N;HP Compaq 8200 Elite CMT PC;XL508AV;2012-05-14;2015-06-12;client8880/cfengine3;Giorgio;0;Aula informatica;HP;Tower
CNC302PRSZ;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;monitor1;Samuel;0;Aula informatica;HP;Monitor
5CG61411GW;BU IDS UMA i5-6300U fWWAN 640 G2;L8U34AV;2016-06-28;2019-06-27;;Giorgio;0;Aula informatica;HP;Monitor
I340LAN010068;;DS213j;0000-00-00;0000-00-00;Synology2;;0;Aula informatica;Synology;NAS
Q521106885;FS-C5150DN;FS-C5150DN;0000-00-00;0000-00-00;aulainfocol25;;0;Aula informatica;Kyocera;Stampante
CZC32016T6;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-16;2016-06-16;client8870;;0;Aula informatica;HP;Monitor
CZC415200S;800EDeS/i54570/500hq/4X/46k ALL;H5U03EA;2014-04-12;2011-05-11;Mon22;Andrea;0;Aula informatica;HP;Monitor
CZC6188SVQ;HP EliteDesk 800 G2 SFF;L1G76AV;2016-05-10;2019-06-08;;Jonathan;0;Aula informatica;HP;Desktop
Q154l21451;QNAP;TS-453 Pro;0000-00-00;0000-00-00;NAS1;In lavorazione da Jonathan;0;Aula informatica;QNAP;NAS
CNC302PRLQ;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-07;monitor18;Jonathan;0;Aula informatica;HP;Monitor
CNC205Q9QV;HP CPQ LA2306x 23-In LED LCD ALL;XN375AT;2012-03-22;2015-04-20;Mon22;Andrea;0;Aula informatica;HP;Monitor
;;P1206P;0000-00-00;0000-00-00;;;0;aula21;Acer;Beamer
;;;0000-00-00;0000-00-00;;beamer della LIM;0;aula21;Hitachi;Beamer
CZC3216NTW;HP Compaq Elite 8300 CMT PC ALL;QV993AV;2013-05-25;2016-06-23;client8843;;0;aula21;HP;Tower
;FS-4100DN;FS-4100DN;0000-00-00;0000-00-00;aula21bn12;;0;aula21;Kyocera;Stampante
VLAGD45;ASSEMBLY L171P-9417 Monitor;4439HB2;2007-09-27;2010-09-26;MON 17;;0;aula21;Lenovo;Monitor
FXT77 022497;StarBoard;;0000-00-00;0000-00-00;;;0;aula21;Hitachi;Lavagna multimediale
;StarBoard;;0000-00-00;0000-00-00;;;0;aula22;Hitachi;Lavagna multimediale
VCY7252080;ECOsys P2040dn;P2040dn;0000-00-00;0000-00-00;aula22bn27;;0;aula22;Kyocera;Stampante
;;P5271;0000-00-00;0000-00-00;BEAMER5;;0;aula22;Acer;Beamer
;;CP-A301N;0000-00-00;0000-00-00;;beamer della LIM;0;aula22;Hitachi;Beamer
XET9214445;FS-1350DN;FS-1350DN;0000-00-00;0000-00-00;aula22bn13;smaltito;1;aula22;Kyocera;Stampante
VLAGD37;ASSEMBLY L171P-9417 Monitor;4439HB2;2007-09-27;2010-09-26;MON 18;;0;aula22;Lenovo;Monitor
FXT77 022495;;;0000-00-00;0000-00-00;;;0;aula23;Hitachi;Beamer
VLAGD39;ASSEMBLY L171P-9417 Monitor;4439HB2;2007-09-27;2010-09-26;MON 19;;0;aula23;Lenovo;Monitor
;;CP-A300N;0000-00-00;0000-00-00;;;0;aula23;Hitachi;Lavagna multimediale
V1Q5326833;FS-4100DN;FS-4100DN;0000-00-00;0000-00-00;aula23bn14;;0;aula23;Kyocera;Stampante
